record_id,timestamp,transcript,primary_class,sub_class,distress_flag,confidence
1,2026-02-01 10:00:00,why are you shouting like this please stop,high_arousal,scream,1,0.94
2,2026-02-01 10:01:00,dont talk to me like that okay,high_arousal,abuse,1,0.93
3,2026-02-01 10:02:00,i dont feel safe right now,distress,fear,1,0.95
4,2026-02-01 10:03:00,she is crying i can hear her,distress,cry,1,0.92
5,2026-02-01 10:04:00,we are just talking about dinner,neutral,neutral,0,0.7
6,2026-02-01 10:05:00,he suddenly started yelling at me,high_arousal,anger,1,0.91
7,2026-02-01 10:06:00,something feels wrong here,distress,fear,1,0.94
8,2026-02-01 10:07:00,uh she keeps crying loudly,distress,cry,1,0.93
9,2026-02-01 10:08:00,he keeps saying really bad things,high_arousal,abuse,1,0.92
10,2026-02-01 10:09:00,discussion about work plans later,neutral,neutral,0,0.69
11,2026-02-01 10:10:00,he screamed again i told him to stop,high_arousal,scream,1,0.95
12,2026-02-01 10:11:00,my hands are shaking i cant think,distress,fear,1,0.94
13,2026-02-01 10:12:00,he got really mad all of a sudden,high_arousal,anger,1,0.91
14,2026-02-01 10:13:00,she is crying and breathing fast,distress,cry,1,0.93
15,2026-02-01 10:14:00,yeah that sounds fine to me,neutral,neutral,0,0.68
16,2026-02-01 10:15:00,he said something really hurtful,high_arousal,abuse,1,0.94
17,2026-02-01 10:16:00,i feel very uneasy here,distress,fear,1,0.95
18,2026-02-01 10:17:00,please she is crying again,distress,cry,1,0.94
19,2026-02-01 10:18:00,he shouted right in my face,high_arousal,scream,1,0.92
20,2026-02-01 10:19:00,just a normal friendly talk,neutral,neutral,0,0.67
21,2026-02-01 10:20:00,he lost control and started yelling,high_arousal,anger,1,0.93
22,2026-02-01 10:21:00,i feel like something bad might happen,distress,fear,1,0.95
23,2026-02-01 10:22:00,you can hear someone crying,distress,cry,1,0.92
24,2026-02-01 10:23:00,he keeps insulting me,high_arousal,abuse,1,0.91
25,2026-02-01 10:24:00,general discussion about plans,neutral,neutral,0,0.69
26,2026-02-01 10:25:00,he screamed very loudly again,high_arousal,scream,1,0.94
27,2026-02-01 10:26:00,my heart is racing,distress,fear,1,0.95
28,2026-02-01 10:27:00,she wont stop crying,distress,cry,1,0.93
29,2026-02-01 10:28:00,he is yelling nearby,high_arousal,anger,1,0.91
30,2026-02-01 10:29:00,normal office conversation,neutral,neutral,0,0.68
31,2026-02-01 10:30:00,he said things he should not say,high_arousal,abuse,1,0.94
32,2026-02-01 10:31:00,i feel frozen right now,distress,fear,1,0.95
33,2026-02-01 10:32:00,crying sounds coming from there,distress,cry,1,0.92
34,2026-02-01 10:33:00,there is a lot of loud shouting,high_arousal,scream,1,0.93
35,2026-02-01 10:34:00,routine conversation happening,neutral,neutral,0,0.69
36,2026-02-01 10:35:00,he got angry and raised his voice,high_arousal,anger,1,0.92
37,2026-02-01 10:36:00,i dont know what to do,distress,fear,1,0.94
38,2026-02-01 10:37:00,she is crying because of that,distress,cry,1,0.93
39,2026-02-01 10:38:00,he keeps using bad language,high_arousal,abuse,1,0.91
40,2026-02-01 10:39:00,talking about daily stuff,neutral,neutral,0,0.7
41,2026-02-01 10:40:00,he screamed angrily again,high_arousal,scream,1,0.94
42,2026-02-01 10:41:00,something doesnt feel right,distress,fear,1,0.95
43,2026-02-01 10:42:00,you can hear her crying,distress,cry,1,0.92
44,2026-02-01 10:43:00,he suddenly snapped,high_arousal,anger,1,0.91
45,2026-02-01 10:44:00,just calm normal discussion,neutral,neutral,0,0.69
46,2026-02-01 10:45:00,he shouted and insulted me,high_arousal,abuse,1,0.93
47,2026-02-01 10:46:00,i am really nervous right now,distress,fear,1,0.95
48,2026-02-01 10:47:00,she is sobbing loudly,distress,cry,1,0.94
49,2026-02-01 10:48:00,very loud yelling happening,high_arousal,scream,1,0.92
50,2026-02-01 10:49:00,general chat going on,neutral,neutral,0,0.68
51,2026-02-01 10:50:00,he was yelling non stop,high_arousal,anger,1,0.93
